1.231,1.972,2.522,2.673,3.323
1.298,1.945,2.503,2.719,3.299
1.305,1.97,2.545,2.769,3.31
1.289,1.836,2.55,2.907,3.313
1.273,2.023,2.557,2.968,3.302
1.474,2.013,2.764,2.99,3.302
1.251,1.946,2.539,2.895,3.304
1.431,1.943,2.514,2.896,3.31
1.293,1.956,2.509,2.95,3.311
1.157,2.019,2.509,2.912,3.298
1.312,1.924,2.536,2.887,3.288
1.226,1.982,2.522,2.918,3.304
1.285,2.028,2.485,2.973,3.294
1.329,2.026,2.538,3.232,3.292
1.313,2.047,2.507,2.874,3.293
1.291,2.067,2.479,2.939,3.295
1.365,1.902,2.465,2.954,3.279
1.318,1.926,2.485,2.922,3.295
1.279,1.919,2.466,2.941,3.273
1.265,1.974,2.461,3.11,3.268
